country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","27-04-2025 21:00:00",26.1403345,85.3650192,NO2,9,16,14
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","27-04-2025 21:00:00",26.1403345,85.3650192,NH3,2,3,3
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","27-04-2025 21:00:00",26.1403345,85.3650192,SO2,4,6,5
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","27-04-2025 21:00:00",26.1209,85.3647,PM2.5,22,65,36
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","27-04-2025 21:00:00",25.586562,85.043586,PM10,35,409,179
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","27-04-2025 21:00:00",25.586562,85.043586,NO2,27,35,32
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","27-04-2025 21:00:00",25.586562,85.043586,SO2,3,24,11
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","27-04-2025 21:00:00",25.592539,85.227158,PM10,35,237,152
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","27-04-2025 21:00:00",25.592539,85.227158,CO,18,116,40
India,Bihar,Patna,"Muradpur, Patna - BSPCB","27-04-2025 21:00:00",25.619651,85.147382,PM10,96,417,210
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","27-04-2025 21:00:00",26.0881305,87.93840336,NH3,2,3,3
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","27-04-2025 21:00:00",26.0881305,87.93840336,OZONE,16,23,18
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","27-04-2025 21:00:00",27.308328,84.531742,NO2,3,7,5
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","27-04-2025 21:00:00",27.308328,84.531742,NH3,1,1,1
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","27-04-2025 21:00:00",27.308328,84.531742,CO,15,122,77
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","27-04-2025 21:00:00",27.308328,84.531742,OZONE,8,48,38
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","27-04-2025 21:00:00",26.63086,84.90051,NO2,17,26,23
India,Bihar,Munger,"Town Hall, Munger - BSPCB","27-04-2025 21:00:00",25.376776,86.471523,PM2.5,32,92,59
India,Bihar,Munger,"Town Hall, Munger - BSPCB","27-04-2025 21:00:00",25.376776,86.471523,NH3,5,8,7
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","27-04-2025 21:00:00",26.11442,85.39813,NO2,3,15,7
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","27-04-2025 21:00:00",26.987634,94.636574,OZONE,1,17,3
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","27-04-2025 21:00:00",26.146529,87.454184,PM2.5,NA,NA,NA
